Q_LEARN,Q_EVICT,Q_FLOOD,Q_BLOCK,Q_UNBLOCK,Q_INC_AGE,Q_DEC_AGE
-0.017,-0.0497,-0.1407,0.0,0.0,-0.0394,-0.0507
-0.0192,-0.0497,-0.1407,0.0,0.0,-0.0394,-0.0507
-0.0192,-0.0497,-0.1417,0.0,0.0,-0.0394,-0.0507
-0.0185,-0.0497,-0.1417,0.0,0.0,-0.0394,-0.0507
-0.0185,-0.0497,-0.1423,0.0,0.0,-0.0394,-0.0507
-0.0185,-0.0497,-0.1423,0.0,0.0,-0.0434,-0.0507
-0.0178,-0.0497,-0.1423,0.0,0.0,-0.0434,-0.0507
-0.0171,-0.0497,-0.1423,0.0,0.0,-0.0434,-0.0507
-0.0171,-0.0497,-0.1423,0.0,0.0,-0.0434,-0.0534
-0.0171,-0.0497,-0.1423,0.0,0.0,-0.0443,-0.0534
-0.0171,-0.0497,-0.1423,0.0,0.0,-0.0452,-0.0534
-0.0171,-0.0497,-0.1423,0.0,0.0,-0.0458,-0.0534
-0.0192,-0.0497,-0.1423,0.0,0.0,-0.0458,-0.0534
-0.0192,-0.0497,-0.1433,0.0,0.0,-0.0458,-0.0534
-0.0192,-0.0497,-0.1433,0.0,0.0,-0.0458,-0.0533
-0.0192,-0.0497,-0.1433,0.0,0.0,-0.0458,-0.053
-0.0212,-0.0497,-0.1433,0.0,0.0,-0.0458,-0.053
-0.02,-0.0497,-0.1433,0.0,0.0,-0.0458,-0.053
-0.02,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.0191,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.0183,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.0176,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.0169,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.019,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.0181,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.0174,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.0166,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.0187,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.0179,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.0173,-0.0497,-0.1442,0.0,0.0,-0.0458,-0.053
-0.0173,-0.0497,-0.1448,0.0,0.0,-0.0458,-0.053
-0.0193,-0.0497,-0.1448,0.0,0.0,-0.0458,-0.053
-0.0185,-0.0497,-0.1448,0.0,0.0,-0.0458,-0.053
-0.0178,-0.0497,-0.1448,0.0,0.0,-0.0458,-0.053
-0.0171,-0.0497,-0.1448,0.0,0.0,-0.0458,-0.053
-0.0171,-0.0497,-0.1448,0.0,0.0,-0.0458,-0.0556
-0.0167,-0.0497,-0.1448,0.0,0.0,-0.0458,-0.0556
-0.0167,-0.0497,-0.1455,0.0,0.0,-0.0458,-0.0556
-0.0188,-0.0497,-0.1455,0.0,0.0,-0.0458,-0.0556
-0.0188,-0.0497,-0.1455,0.0,0.0,-0.0458,-0.055
-0.0188,-0.0497,-0.1461,0.0,0.0,-0.0458,-0.055
-0.018,-0.0497,-0.1461,0.0,0.0,-0.0458,-0.055
-0.0199,-0.0497,-0.1461,0.0,0.0,-0.0458,-0.055
-0.0199,-0.0497,-0.1468,0.0,0.0,-0.0458,-0.055
-0.019,-0.0497,-0.1468,0.0,0.0,-0.0458,-0.055
-0.019,-0.0497,-0.1468,0.0,0.0,-0.0458,-0.0546
